device,num_chunks,batch_size,mean_time_s,stddev_time_s,min_time_s,max_time_s,mean_cps,stddev_cps,min_cps,max_cps,p50_cps,p95_cps,mean_gpu_temp,mean_gpu_mem_mb,mean_gpu_power_w
cpu,100,32,1.5161,0.1137,1.4335,1.6458,66.2,4.8,60.8,69.8,68.1,69.8,55,-1,12.8
cpu,100,64,1.0474,0.0795,0.9970,1.1390,95.8,7.0,87.8,100.3,99.4,100.3,55,-1,12.7
cpu,500,32,6.8225,0.0435,6.7954,6.8727,73.3,0.4,72.8,73.6,73.5,73.6,55,-1,12.8
cpu,500,64,5.1123,0.0478,5.0605,5.1547,97.8,0.9,97.0,98.8,97.6,98.8,56,-1,12.8
cpu,1000,32,13.6259,0.0767,13.5388,13.6834,73.4,0.4,73.1,73.9,73.2,73.9,56,-1,12.9
cpu,1000,64,10.2761,0.0618,10.2286,10.3460,97.3,0.6,96.7,97.8,97.5,97.8,56,-1,12.9
cuda,100,32,0.0489,0.0123,0.0384,0.0625,2127.9,506.1,1598.9,2607.4,2177.3,2607.4,51,-1,20.4
cuda,100,64,0.0305,0.0008,0.0298,0.0314,3277.6,90.4,3180.5,3359.4,3293.0,3359.4,53,-1,24.2
cuda,100,128,0.0315,0.0034,0.0294,0.0354,3193.0,323.0,2821.3,3405.4,3352.4,3405.4,53,-1,28.2
cuda,100,256,0.0283,0.0007,0.0276,0.0290,3539.5,87.5,3446.9,3620.9,3550.7,3620.9,54,-1,30.6
cuda,500,32,0.1878,0.0193,0.1729,0.2096,2681.0,263.2,2386.0,2891.7,2765.3,2891.7,54,-1,34.0
cuda,500,64,0.1477,0.0031,0.1444,0.1505,3385.1,70.7,3322.3,3461.7,3371.4,3461.7,54,-1,42.2
cuda,500,128,0.1688,0.0477,0.1412,0.2239,3103.3,753.9,2232.8,3541.7,3535.5,3541.7,54,-1,43.6
cuda,500,256,0.1473,0.0009,0.1466,0.1483,3394.2,20.2,3371.4,3409.8,3401.4,3409.8,54,-1,44.2
cuda,1000,32,0.3629,0.0088,0.3528,0.3688,2756.8,67.8,2711.7,2834.8,2723.8,2834.8,57,-1,45.3
cuda,1000,64,0.2943,0.0005,0.2937,0.2946,3397.7,6.4,3394.0,3405.0,3394.0,3405.0,60,-1,48.0
cuda,1000,128,0.2807,0.0037,0.2768,0.2841,3563.5,46.2,3520.4,3612.2,3557.9,3612.2,62,-1,50.2
cuda,1000,256,0.2896,0.0042,0.2848,0.2927,3453.6,50.2,3416.1,3510.6,3434.2,3510.6,63,-1,51.7
cuda,5000,32,1.7796,0.0420,1.7353,1.8189,2810.7,66.7,2748.9,2881.4,2801.9,2881.4,62,-1,49.4
cuda,5000,64,1.4431,0.0045,1.4384,1.4473,3464.7,10.8,3454.7,3476.1,3463.3,3476.1,63,-1,55.5
cuda,5000,128,1.3899,0.0088,1.3802,1.3973,3597.4,22.7,3578.4,3622.6,3591.2,3622.6,65,-1,58.2
cuda,5000,256,1.4307,0.0057,1.4247,1.4360,3494.9,13.8,3482.0,3509.5,3493.1,3509.5,67,-1,59.0
